,first pokemon,second pokemon,third pokemon
1,altaria,wigglytuff,whiscash
2,altaria,azumarill,umbreon
3,bastiodon,wobbuffet,tangrowth
4,whiscash,registeel,deoxys-defense
5,swampert,registeel,deoxys-defense
6,mawile,whiscash ,shiftry
7,flygon,azumarill,umbreon
8,lanturn,skamory,vigoroth
9,hypno,whiscash ,skarmory
10,umbreon,jirachi,
11,medicham,azumarill,registeel
12,swampert,clefable,
13,galvantula,toxicroak,whiscash
14,hypno,whiscash ,skarmory
15,galvantula,heracross,altaria
16,charizard,serperior,registeel
17,altaria,azumarill,meganium
18,skarmory,bastiodon,wigglytuff
19,raichu-alola,toxicroak,hypno
20,azumarill,steelix,clefable
21,umbreon,registeel,
22,skarmory,lapras,heracross
23,hypno,toxicroak,azumarill
24,vigoroth,whiscash ,skarmory
25,hypno,marowak-alola,
26,deoxys-defense,azumarill,skarmory
27,raichu,swampert,cactus
28,swampert,meganium,sandslash-alola
29,altaria,azumarill,registeel
30,mantine,altaria,jirachi
31,vigoroth,victreebell,melmetal
32,probopass,altaria,toxicroak
33,skarmory,azumarill,galvantula
34,articuno,axumarill,ferrothorn
35,skarmory,azumarill,registeel
36,wigglytuff,marowak-alola,
37,toxicroak,cherrim,jirachi
38,cherrim,toxicroak,azumarill
39,azumarill,skarmory,scrafty
40,raichu-alola,azumarill,toxicroak
41,skarmory,flygon,bronzong
42,skarmory,victreebell,toxicroak
43,quagsire,azumarill,charizard
44,raichu-alola,altaria,whiscash
45,celebi,bastiodon,jirachi
46,altaria,umbreon,venusaur
47,toxicroak,meganium,azumarill
48,meganium,altaria,azumarill
49,altaria,galvantula,steelix
50,melmetal,deoxys-defense,blastoise
51,umbreon,ferrothorn,lanturn
52,umbreon,azumarill,haunter
53,medicham,azumarill,jirachi
54,raichu-alola,azumarill,hypno
55,shiftry,whiscash ,hypno
56,marowak-alola,wigglytuff,vigoroth
57,skarmory,umbreon,toxicroak
58,skarmory,hypno,amoongus
59,registeel,azumarill,skarmory
60,toxicroak,victreebell,azumarill
61,charizard,victreebell,azumarill
62,azumarill,galvantula,umbreon
63,medicham,altaria,azumarill
64,stunfisk,azumarill,skarmory
65,azumarill,whiscash ,skarmory
66,toxicroak,venusaur,crocanaw
67,toxicroak,machamp,meganium
68,scizor,meganium,marowak-alola
69,skarmory,azumarill,meganium
70,skarmory,whiscash ,bastiodon
71,linoone,skarmory,
72,venusaur,metagross,
73,hitmonchan,lanturn,hypno
74,galvantula,flygon,deoxys-defense
75,azumarill,skarmory,whiscash
76,whiscash,registeel,altaria
77,clefable,altaria,breloom
78,whiscash,altaria,raichu-alola
79,whiscash,graveler-alola,
80,galvantula,skarmory,toxicroak
81,whiscash,hypno,wigglytuff
82,clefable,whiscash ,skarmory
83,azumarill,hypno,bugwarrior
84,jirachi,kingdra,marowak-alola
85,galvantula,skarmory,toxicroak
86,galvantula,umbreon,
87,marowak-alola,whiscash ,toxicroak
88,altaria,azumarill,raichu-alola
89,charizard,venusaur,
90,feraligatr,skarmory,galvantula
91,skarmory,cherrim,
,jirachi,azumarill,ferrothorn
,mew,azumarill,mawile
